price_id,book_id,amount,imported_price,source,date_added
138,138,,f,,2026-01-26 19:56:38.614712
139,139,,f,,2026-01-26 19:56:38.614712
140,140,,f,,2026-01-26 19:56:38.614712
141,141,,f,,2026-01-26 19:56:38.614712
142,142,,f,,2026-01-26 19:56:38.614712
143,143,,t,,2026-01-26 19:56:38.614712
144,144,,t,,2026-01-26 19:56:38.614712
145,145,,f,,2026-01-26 19:56:38.614712
146,146,,f,,2026-01-26 19:56:38.614712
147,147,,f,,2026-01-26 19:56:38.614712
148,148,,f,,2026-01-26 19:56:38.614712
149,149,,f,,2026-01-26 19:56:38.614712
150,150,,f,,2026-01-26 19:56:38.614712
151,151,,t,,2026-01-26 19:56:38.614712
152,152,,t,,2026-01-26 19:56:38.614712
153,153,,f,,2026-01-26 19:56:38.614712
154,154,,f,,2026-01-26 19:56:38.614712
155,155,,f,,2026-01-26 19:56:38.614712
156,156,,t,,2026-01-26 19:56:38.614712
157,157,,t,,2026-01-26 19:56:38.614712
158,158,,t,,2026-01-26 19:56:38.614712
159,159,,f,,2026-01-26 19:56:38.614712
160,160,,f,,2026-01-26 19:56:38.614712
161,161,,f,,2026-01-26 19:56:38.614712
162,162,,f,,2026-01-26 19:56:38.614712
163,163,,f,,2026-01-26 19:56:38.614712
164,164,,f,,2026-01-26 19:56:38.614712
165,165,,f,,2026-01-26 19:56:38.614712
166,166,,t,,2026-01-26 19:56:38.614712
167,167,,t,,2026-01-26 19:56:38.614712
168,168,,f,,2026-01-26 19:56:38.614712
169,169,,f,,2026-01-26 19:56:38.614712
170,170,,f,,2026-01-26 19:56:38.614712
171,171,,f,,2026-01-26 19:56:38.614712
172,172,,t,,2026-01-26 19:56:38.614712
173,173,,f,,2026-01-26 19:56:38.614712
174,174,,f,,2026-01-26 19:56:38.614712
175,175,,f,,2026-01-26 19:56:38.614712
176,176,,f,,2026-01-26 19:56:38.614712
177,177,,f,,2026-01-26 19:56:38.614712
178,178,,f,,2026-01-26 19:56:38.614712
179,179,,f,,2026-01-26 19:56:38.614712
180,180,,f,,2026-01-26 19:56:38.614712
181,181,,f,,2026-01-26 19:56:38.614712
182,182,,f,,2026-01-26 19:56:38.614712
183,183,,t,,2026-01-26 19:56:38.614712
184,184,,t,,2026-01-26 19:56:38.614712
185,185,,f,,2026-01-26 19:56:38.614712
